日付け,終値,始値,高値,安値,出来高,前日比%
2002年12月,8578.95 ,9208.61 ,9320.11 ,8256.52 ,-,-6.91%
2003年1月,8339.94 ,8669.89 ,8829.06 ,8237.03 ,-,-2.79%
2003年2月,8363.04 ,8285.55 ,8821.31 ,8253.76 ,-,0.28%
2003年3月,7972.71 ,8397.15 ,8509.43 ,7824.82 ,-,-4.67%
2003年4月,7831.42 ,7907.13 ,8249.98 ,7603.76 ,-,-1.77%
2003年5月,8424.51 ,7804.03 ,8461.73 ,7745.69 ,-,7.57%
2003年6月,9083.11 ,8490.22 ,9188.95 ,8488.89 ,1.72M,7.82%
2003年7月,9563.21 ,9097.61 ,10070.11 ,9078.74 ,1.89M,5.29%
2003年8月,10343.55 ,9646.66 ,10415.53 ,9224.05 ,1.74M,8.16%
2003年9月,10219.05 ,10399.53 ,11160.19 ,10148.36 ,1.83M,-1.20%
2003年10月,10559.59 ,10232.57 ,11238.63 ,10173.54 ,1.96M,3.33%
2003年11月,10100.57 ,10693.66 ,10869.35 ,9614.60 ,1.27M,-4.35%
2003年12月,10676.64 ,10006.13 ,10681.28 ,9859.00 ,1.27M,5.70%
2004年1月,10783.61 ,10787.83 ,11193.64 ,10665.15 ,1.44M,1.00%
2004年2月,11041.92 ,10784.93 ,11069.28 ,10299.43 ,1.28M,2.40%
2004年3月,11715.39 ,11112.68 ,11869.00 ,11045.94 ,2.43M,6.10%
2004年4月,11761.79 ,11756.16 ,12195.66 ,11623.65 ,2.43M,0.40%
2004年5月,11236.37 ,11777.44 ,11785.26 ,10489.84 ,1.70M,-4.47%
2004年6月,11858.87 ,11204.69 ,11887.95 ,10963.56 ,1.70M,5.54%
2004年7月,11325.78 ,11933.33 ,11988.12 ,11018.79 ,1.37M,-4.50%
